row  number,age,work sector,salery,savings,Food expenses (month),zip code,other expenses (month),educaion years,economic class
65,49,C,3565,11347,862,25288,1370,14,3
66,44,C,3355,238,775,41527,1668,15,2
67,29,A,4387,27868,1058,38197,1692,18,3
68,41,B,6826,21593,1156,24632,2073,15,5
69,37,B,7693,17007,1138,38839,1727,15,6
70,28,C,3264,8530,762,30773,1934,17,2
71,42,C,3556,3448,493,34485,1421,16,3
72,21,D,2498,2567,530,41983,1476,12,2
73,46,E,7425,33575,1870,18326,2347,19,6
74,31,E,9809,54378,1881,20173,1762,17,9
75,50,A,4846,20214,955,26450,2408,17,3
76,56,C,3857,14715,726,33829,1711,18,3
77,20,B,5170,23390,1155,17311,1225,19,4
78,46,A,5220,24205,747,22696,2079,11,4
79,39,B,6272,8833,1204,37945,2107,17,5
80,44,B,7668,27340,1197,23197,2384,16,6
81,37,C,3727,11826,622,32306,1720,11,3
82,43,E,9180,69969,1751,31110,2494,16,7
83,55,C,3746,6265,676,41309,1931,15,2
84,26,A,4883,24889,1072,39514,1450,16,4
85,32,A,4817,14004,1208,35485,2050,15,3
86,34,C,3104,6884,772,31946,2073,14,2
87,33,A,5478,29079,641,39556,2184,17,4
88,52,A,4933,23698,946,36444,1371,15,4
89,36,D,2215,2602,566,18768,2283,17,0
90,48,C,3409,10509,882,30181,1714,12,2
91,56,C,3599,6998,850,33684,1159,11,3
92,33,E,8040,29810,1956,36690,1002,23,8
93,19,C,3726,7833,886,19099,1519,15,3
94,47,B,6926,20391,1156,27608,1512,18,6
95,37,B,7312,27352,1300,25001,1799,21,6
96,37,D,2999,3460,474,34284,1533,13,2
97,53,B,7295,21074,1173,31575,1651,19,6
98,51,A,5391,33229,1042,35598,1540,11,4
99,18,C,3543,12713,673,22666,2210,14,2
100,46,A,5871,33615,1180,26205,1689,18,5
101,39,E,8603,42333,1542,40119,1286,20,8
102,41,D,854,2040,520,23322,1890,14,0
103,48,C,3597,18435,904,26348,1499,12,3
104,42,C,3590,846,992,16953,1572,20,3
105,57,C,3301,15360,740,32210,1296,15,3
106,41,D,1996,1384,551,31492,1498,10,1
107,41,D,3215,6646,530,30498,1966,11,2
108,31,C,3333,674,718,33825,1662,12,2
109,17,A,5325,36559,864,17221,1255,18,5
110,40,B,6912,28269,1213,36136,2094,19,5
111,37,B,5824,10344,1149,21682,1661,16,5
112,40,B,6844,20512,1309,31011,1328,18,6
113,40,B,8932,35929,1199,25550,1376,19,8
114,43,E,8281,50744,1574,36956,1183,20,8
115,49,E,8502,53270,1768,39103,2105,18,7
116,38,A,5744,25869,1213,38110,1988,13,4
117,34,D,2387,5016,499,30145,1369,15,2
118,38,D,2385,5141,571,36444,2453,13,0
119,34,A,4891,24274,894,30875,1734,12,4
120,61,D,1523,4575,480,33551,2025,15,0
121,53,A,4925,17953,490,39900,2002,13,3
122,49,E,7341,46965,1470,19771,997,19,7
123,45,C,3901,13570,635,19643,1957,16,2
124,42,A,4144,14516,625,36727,1214,15,3
125,41,C,2869,11126,667,26279,1260,14,2
126,,C,3405,5569,573,18865,1947,15,2
127,36,C,2626,1636,629,20860,1685,14,1
128,37,E,8803,26621,1821,34855,1744,15,8
129,31,C,3222,3333,691,31530,1939,16,2
130,45,C,3594,3442,860,31660,1878,16,2
131,42,A,4780,28982,657,25716,1650,15,4
132,48,B,5514,21969,1061,27660,1608,16,4
133,32,D,4063,7153,552,26254,1375,14,3
134,50,E,8534,74071,1282,41077,1689,18,7
135,35,A,5083,29992,680,21194,1854,18,4
136,37,E,7554,57799,1558,39234,1731,18,6
137,51,E,8202,31871,1739,31854,1999,20,7
138,51,C,3283,4519,1038,29125,1790,16,2
139,37,B,8254,25978,1361,17383,1616,17,7
140,35,B,7040,18460,1290,40140,2281,18,5
141,22,A,4887,21916,1167,30728,2142,19,3
142,38,E,8298,30758,1705,23075,2071,21,7
143,63,E,7645,67092,1847,20549,2232,19,6
144,26,C,3221,6121,803,23907,1162,15,3
145,48,D,3201,6327,483,36880,1457,10,2
146,40,E,7898,77125,1887,21762,1924,20,6
147,33,B,6999,21873,1332,21404,1589,16,6
148,48,E,6801,48723,1480,28648,2298,18,5
149,39,C,2866,6455,716,16256,1884,16,1
150,32,C,2788,2659,952,22962,2023,15,1
151,41,A,4902,13037,1159,25583,1739,14,4
152,40,A,4205,26117,874,40875,1504,16,3
153,48,A,5267,20058,982,27388,1917,16,4
154,37,D,4645,12955,500,27177,2035,11,3
155,44,C,3571,8755,730,38278,2208,16,2
156,61,B,6351,28454,1110,22037,1784,18,5
157,54,B,7208,20621,1256,39973,2489,16,5
158,61,A,4186,33082,958,27188,1987,18,3
159,35,D,1780,3862,514,27453,1633,11,1
160,40,A,4775,14686,1155,18343,1706,18,4
161,38,A,4246,20228,1285,20146,1326,18,3
162,49,C,2755,6224,838,26691,1399,14,2
163,46,C,4702,13287,997,31284,1711,14,3
164,26,A,4602,16569,1056,19897,1846,17,3
165,39,A,4506,34205,1113,23626,2155,17,3
166,40,D,2041,3469,560,30564,1960,11,1
167,26,D,2343,5737,563,18804,1634,14,1
168,40,D,2882,6047,448,32732,1724,13,2
169,34,D,2421,5006,460,39471,1434,10,1
170,65,B,6617,29229,1228,34301,1891,17,5
171,49,A,5041,30176,805,40491,1592,16,4
172,28,A,5535,34646,1216,21475,1217,17,5
173,51,D,2702,4365,431,38935,1543,15,2
174,32,C,2716,4915,1095,32248,1916,12,1
175,38,B,7640,24915,1136,31663,1615,16,7
176,39,B,8006,25745,1187,32440,1719,18,7
177,45,B,6916,21949,1087,26445,1501,18,6
178,37,B,5367,26351,1195,27011,1584,16,4
179,33,D,2465,4705,563,35353,1719,12,1
180,48,A,4947,22638,1218,31504,1601,18,4
181,56,C,3187,1959,835,32369,1645,14,2
182,50,A,4291,20043,1122,29231,1528,16,3
183,36,D,1244,1999,475,20342,1906,8,0
184,50,E,7193,2262,2186,35197,2086,18,6
185,34,D,2569,7962,499,29077,1896,11,1
186,26,B,6621,18768,1271,24981,2201,19,5
187,45,B,7430,41908,1287,37569,2230,17,6
188,42,E,8236,44091,1371,39317,1872,16,7
189,49,E,8705,61538,2014,31549,2051,18,7
190,34,B,8412,31989,1206,25844,2159,17,7
191,29,D,2986,8340,522,35884,1592,11,2
192,34,A,4698,11082,1017,38586,1386,15,4
193,41,E,7331,50698,1771,27772,1427,20,6
194,49,D,2425,6498,534,29913,1486,13,1
195,30,D,2144,3597,540,19328,1804,10,1
196,43,A,4934,21407,998,37017,1297,15,4
197,66,D,2919,7576,563,22324,2272,11,1
198,26,B,8833,37131,1186,27103,2158,18,7
199,33,C,3421,4121,873,33079,1009,12,3
200,35,D,1825,4727,513,24559,1471,12,1
201,41,B,8010,34181,1215,34552,1507,17,7
202,31,D,2650,4300,540,37357,2046,10,1
203,53,D,2083,2820,430,36126,1604,12,1
204,57,A,5173,37414,1242,30671,1910,15,4
205,42,A,6028,37916,960,40273,1018,15,6
206,38,D,2798,5151,366,20938,1354,9,2
207,50,A,4163,29455,1183,41874,1517,20,3
208,55,A,4805,21527,570,32366,1835,17,3
209,53,D,2258,6450,429,34852,1560,11,1
210,31,B,6449,14676,1371,31356,1931,16,5
211,39,B,7482,13422,1062,33535,1913,20,6
212,19,D,1142,2517,525,28689,1235,12,0
213,38,D,3298,6855,486,21514,2239,13,2
214,45,B,7123,9257,1186,20939,1008,18,7
215,34,D,2160,3739,552,35808,2034,11,1
216,34,C,4107,6690,821,28129,1416,13,3
217,41,A,4601,32962,795,33997,1466,17,4
218,39,B,4708,15758,1160,39075,2318,13,3
219,37,C,3262,11603,880,28076,1815,15,2
220,40,A,4646,22894,773,22750,1438,16,4
221,38,E,8106,62127,1902,35818,1752,21,7
222,45,C,2635,4193,679,33528,1820,15,1
223,,A,5764,23506,620,20927,1290,19,5
224,38,C,3673,6870,889,41637,1860,12,2
225,12,E,8014,49078,1485,41195,1135,16,7
226,52,E,8332,60683,1323,28058,1733,12,7
227,33,C,3301,3250,699,40279,2020,18,2
228,45,B,8358,33740,1417,34344,2397,15,6
229,39,C,3302,3978,844,15652,1379,13,2
230,29,C,3958,7835,826,28010,1566,18,3
231,42,E,7488,57916,1869,19580,1727,18,6
232,36,B,5194,16520,1335,25578,1868,16,4
233,30,D,2635,6422,464,29361,1239,12,2
234,30,D,3618,11678,489,30520,1747,8,2
235,51,C,2904,12207,689,34084,1446,15,2
236,46,D,2958,5474,478,37481,1481,12,2
237,26,C,3405,5806,913,20495,1631,18,2
238,51,C,2576,2497,833,31465,1982,15,1
239,42,A,4001,27218,1149,34170,1956,20,3
240,43,A,4854,16799,1134,26547,1370,13,4
241,28,A,4573,20454,1130,34724,983,18,4
242,21,A,5764,18731,890,22623,1962,15,4
243,33,A,5355,25608,1196,22072,1218,15,5
244,30,D,1656,2581,506,36384,1406,11,1
245,39,C,3915,12207,676,22101,1855,19,3
246,25,C,3344,7185,845,24123,1404,18,2
247,46,E,7581,37089,1406,40636,1198,22,7
248,40,B,7199,25671,1248,27710,1344,18,6
249,43,A,4338,24243,1293,20783,1549,17,3
250,34,A,5386,21015,1071,31873,1662,14,4
251,29,C,3280,11488,491,32850,1635,17,2
252,53,D,1622,3029,465,26346,1704,15,0
253,29,C,3498,3150,807,17180,1763,17,2
254,29,C,3437,9,883,19006,1370,12,3
255,41,C,3643,14149,562,20796,2123,16,2
256,28,B,8128,2627,1273,36201,1881,13,7
257,20,D,3782,8909,556,29260,1680,10,3
258,32,C,3561,6111,925,26860,1988,16,2
259,30,E,6536,44161,2050,25152,2094,20,5
260,45,C,3217,3498,673,41921,1565,16,2
261,58,B,6810,34195,1041,41644,1564,19,6
262,24,A,4978,21654,1208,18779,1222,19,4
263,63,A,4984,25366,1264,40164,2185,17,3
264,45,B,7356,30490,1318,26279,1569,20,6
265,33,C,3515,9273,994,22726,1935,17,2
266,51,E,7730,53675,2051,34911,1612,18,7
267,46,D,2981,3552,558,19519,1881,12,2
268,47,C,3398,2915,773,19793,1642,17,2
269,40,B,7442,29853,1238,16472,1538,17,6
270,40,D,1820,4868,540,40589,1547,13,1
271,41,B,7445,32563,1200,40795,1846,21,6
272,41,B,7863,25646,1197,18194,1584,15,7
273,32,E,8552,63009,1873,39062,1371,16,8
274,48,B,7003,16365,1305,17563,1915,19,6
275,36,B,5458,18731,1123,31255,1568,18,4
276,38,D,2324,2497,588,24641,1977,13,1
277,45,D,3118,5449,413,27330,1790,16,2
278,25,B,5949,21908,1164,34537,1547,17,5
279,48,C,3940,14501,841,23997,2246,12,2
280,41,E,8255,51920,2247,41163,1265,18,7
281,30,A,4968,19407,780,16559,1490,18,4
282,29,D,2175,1547,522,39053,2036,10,1
283,46,E,8610,51372,1700,24416,1651,17,7
284,36,D,2830,5366,561,34600,1888,13,1
285,36,B,9929,44063,1045,37791,1143,18,9
286,33,A,5636,33946,820,38337,1676,15,4
287,54,C,4281,3443,784,29666,1959,19,3
288,32,E,8226,51346,1868,18017,1927,19,7
289,36,D,2044,3368,496,16047,2068,13,0
290,43,A,5638,16760,750,18605,1545,17,5
291,35,A,4540,30230,845,28856,2167,17,3
292,37,A,6067,38615,722,35630,1985,14,5
293,33,B,7029,33688,1242,40727,1326,18,6
294,45,D,1440,2553,471,41380,1813,13,0
295,50,D,1937,4727,447,27994,1755,12,1
296,53,A,4489,17386,548,16690,1150,16,4
297,37,C,3909,6087,846,34535,1895,15,3
298,29,D,2681,5240,466,38817,1647,14,2
299,21,C,3515,11430,831,15750,2240,13,2
300,39,A,5180,24844,1115,35680,1790,16,4
301,41,A,5331,19541,1322,34789,1700,16,4
302,30,C,3309,1321,595,36950,2048,15,2
303,34,A,5488,30380,753,37283,2108,15,4
304,34,E,9469,32762,2118,39740,1843,21,8
305,43,C,3380,4332,560,16038,1935,14,2
306,38,C,2825,7952,894,20543,2061,16,1
307,34,C,3482,8012,648,41921,1968,13,2
308,36,D,2785,4346,441,20206,2100,12,1
309,34,E,7888,60575,1945,35547,1210,21,7
310,31,E,7194,66923,2007,23059,1573,18,6
311,51,D,2510,3016,465,35675,1494,12,2
312,42,A,4201,26178,1096,40494,1769,13,3
313,47,D,4054,8589,490,22726,1933,13,3
314,35,A,4683,9719,985,16750,2105,11,3
315,45,C,3129,9661,917,40461,1992,10,2
316,24,C,3206,10933,1079,27643,1431,17,2
317,33,A,4583,24133,1445,22773,1657,13,3
318,38,B,7472,26673,1128,40903,1513,21,6
319,48,B,6333,23471,1345,34283,1986,18,5
320,61,E,7775,55073,2133,23055,1619,18,7
321,26,C,3833,5300,904,27905,1937,14,2
322,42,B,9321,18591,1083,17215,1991,17,8
323,44,B,7197,28190,1226,29542,1716,16,6
324,33,A,5238,22244,851,41118,1927,16,4
325,26,D,1529,2622,501,26803,1907,12,0
326,26,B,7516,22319,1084,21389,1613,17,6
327,43,E,8823,30314,1110,28223,1311,21,8
328,44,E,8169,50276,1473,37069,1741,16,7
329,45,A,3745,15827,898,35155,1979,16,2
330,47,B,7340,23613,1258,38910,941,20,7
331,65,A,4681,19701,967,35443,1830,18,3
332,38,C,3414,7926,805,22711,1799,13,2
333,25,C,3555,13795,961,26879,2323,16,2
334,50,D,2435,5334,452,15990,1317,15,2
335,20,C,3457,4627,645,25329,1084,15,3
336,26,A,5405,23341,1242,33558,1796,18,4
337,34,D,3188,6365,516,33237,1445,16,2
338,47,B,7679,18190,1164,33408,1344,16,7
339,45,E,7268,62696,2013,25942,2040,20,6
340,44,C,3555,12525,835,38194,2061,17,2
341,31,,9160,41704,1931,23503,1814,21,8
342,56,D,2754,5934,515,25608,1152,9,2
343,27,A,4669,30021,1255,22426,1743,20,3
344,38,B,8989,53477,1400,39103,1826,17,8
345,31,E,8759,52163,2024,25278,1512,19,8
346,36,B,8006,30932,1307,37910,1411,18,7
347,33,C,4037,2621,727,31421,1719,17,3
348,47,A,4881,25710,769,24137,1869,16,4
349,46,C,4217,14402,759,21103,2088,19,3
350,22,C,3268,4455,661,40363,1433,13,2
351,37,B,6907,16456,1161,38066,1974,15,5
352,60,D,2524,3556,465,41814,1614,16,1
353,43,D,2339,5339,536,16817,2202,13,1
354,39,B,7827,21657,1257,29102,1536,17,7
355,50,E,6826,40129,1594,39415,1884,20,5
356,40,C,3519,4956,866,32655,1735,16,2
357,50,E,7431,72286,1606,37545,1736,18,6
358,43,B,6640,16217,1138,39588,1353,17,6
359,37,D,2330,4496,550,27830,1536,9,1
360,33,B,7045,15286,1162,36245,1485,17,6
361,63,B,7765,21533,1257,27930,1207,17,7
362,37,D,2014,2608,562,40740,1611,11,1
363,49,B,8460,22249,1272,17935,1816,16,7
364,28,E,7375,50761,1437,38364,1912,19,6
365,39,A,5471,39414,991,19971,1697,17,4
366,29,B,5580,3433,1096,16055,1915,18,4
367,43,,7026,69377,1597,19422,1543,20,6
368,51,D,2358,4993,480,18343,2164,13,1
369,39,B,7240,32039,1178,26555,1436,16,6
370,40,D,2875,6168,437,29102,1719,15,2
371,45,A,5625,38099,1293,36964,1731,19,4
372,42,A,4761,20659,1171,16682,1172,19,4
373,39,A,5408,30409,897,36148,1923,19,4
374,25,C,2869,5225,782,17334,1204,13,2
375,32,A,4989,22594,1061,26826,2032,12,3
376,48,C,3651,10171,1096,29655,1686,10,2
377,35,E,8678,34317,1281,33194,1080,16,8
378,25,D,4254,6660,429,36512,1714,14,3
379,28,D,2590,4009,339,41748,1514,11,2
380,40,E,8475,55498,1821,31651,1900,16,7
381,49,C,4708,10515,847,21526,1547,11,4
382,37,E,6728,41164,2006,32834,1962,15,5
383,39,C,3270,6875,848,36751,1053,13,3
384,47,E,7112,50651,1796,27240,2168,18,5
385,36,C,3676,2585,866,19475,1849,15,2
386,46,E,6983,42324,1766,18712,1345,18,6
387,31,A,5072,24146,908,24757,2038,17,4
388,33,A,5535,18391,1155,28157,1666,17,4
389,61,B,8863,38150,1286,22199,1921,17,7
390,36,A,5104,30510,714,36098,1302,16,4
391,33,A,4522,17387,946,37507,1618,18,3
392,50,E,8092,34405,1495,41880,1378,24,7
393,44,B,6634,21431,1143,30402,1684,21,5
394,26,E,8223,29621,2234,28930,1138,21,8
395,29,B,5920,17421,1109,24472,2077,17,4
396,39,B,7788,19719,1228,17141,2262,18,6
397,34,C,2766,7537,799,22315,1510,15,2
398,40,C,3312,11382,822,22762,1321,14,2
399,25,B,6789,21766,1277,24011,1420,21,6
400,37,C,3359,3586,623,39269,1730,13,2
401,39,A,4785,23150,942,18867,1899,17,3
402,49,D,2655,4674,391,17833,1361,13,2
403,37,C,3576,9520,891,29959,1737,13,2
404,67,D,2818,9284,550,33404,1835,12,1
405,32,D,2985,5419,519,21765,1770,11,2
406,40,,6975,61187,1614,19296,1732,19,6
407,55,E,8849,70261,1371,30240,1958,17,7
408,52,C,3977,9094,761,29894,1514,15,3
409,32,A,4430,17362,1014,19956,1341,16,4
410,39,B,7013,26344,1135,22790,1703,19,6
411,40,B,7635,18024,1246,17785,2296,18,6
412,34,D,2879,6912,482,28970,1973,13,1
413,41,B,6351,15695,1242,22037,1549,20,5
414,34,D,3332,12068,510,34233,1962,14,2
415,40,E,7399,27075,1219,22528,1622,22,6
416,31,B,6499,15400,1154,29273,2177,18,5
417,32,B,6555,4969,1268,21196,2031,13,5
418,68,E,8630,31429,1561,18361,2327,17,7
419,41,B,6054,13892,1204,24876,1784,17,5
420,48,E,7430,53790,1471,35723,2175,17,6
421,31,E,8971,42944,1749,19688,2159,19,7
422,47,C,3506,646,828,38234,890,12,3
423,34,E,7976,42735,2311,26345,1725,14,7
424,39,E,7578,38563,1945,41719,1546,18,7
425,55,C,3020,1498,846,31003,1653,16,2
426,46,D,2661,5561,582,32656,1745,15,1
427,42,E,8339,28484,1819,33455,1163,18,8
428,27,B,7114,20454,1220,17629,1658,15,6
429,29,E,7833,57493,1205,31733,1068,19,7
430,50,B,7149,21805,1143,37853,1749,19,6
431,26,E,7312,47096,1403,34982,1680,18,6
432,30,E,7858,48547,1268,21535,1681,21,7
433,32,A,5586,28163,765,26829,2072,17,4
434,42,B,7705,19440,1124,25759,1496,16,7
435,21,C,3251,4983,610,18776,1476,12,2
436,39,E,7979,17962,1822,21953,1445,18,7
437,36,C,2975,3356,913,37072,1661,16,2
438,34,B,6252,23192,1285,41086,1224,19,6
439,31,E,6867,48107,1686,39820,1020,17,6
440,42,A,5363,28074,821,17796,2189,15,4
441,46,D,2594,8649,531,19968,1648,11,1
442,32,A,5446,21820,1295,29268,1519,13,4
443,55,B,6418,5727,1326,33942,1605,15,5
444,23,A,5713,33792,914,17097,1916,18,4
445,64,B,6246,17658,971,33277,1740,18,5
446,28,C,2677,2435,871,35316,1941,15,1
447,41,C,3595,11599,861,23940,1326,13,3
448,36,B,6477,27151,911,38111,1483,20,5
449,42,C,3415,4124,579,19310,1648,16,2
450,54,A,4667,29137,1178,40683,831,15,4
451,38,A,5568,37559,992,34402,2268,14,4
452,35,D,2351,6078,561,22345,2329,15,1
453,57,C,3735,7290,886,27332,2001,11,2
454,37,,2652,5577,483,20115,2005,15,1
455,48,A,4442,27396,888,20918,1834,15,3
456,44,C,2911,5286,846,17943,2044,18,1
457,45,D,1531,2825,456,35823,1602,11,0
458,34,E,7675,979,1829,33078,2035,19,6
459,42,E,8487,42790,2050,20258,1783,20,7
460,56,D,2946,4427,505,29375,1844,16,2
461,39,E,7647,51863,1683,17071,1939,17,6
462,45,B,7080,30994,1167,17763,1896,19,6
463,35,B,6446,28577,1101,40445,1650,18,5
464,36,A,5446,23980,1025,41882,1886,17,4
465,49,D,2706,4821,526,38704,1825,13,1
466,47,D,2292,5089,463,40535,1537,14,1
467,28,B,6828,30012,1141,40200,1152,19,6
468,27,E,9174,24740,2025,20887,2135,19,8
469,25,D,3389,8672,465,38675,2321,16,2
470,39,A,4340,18032,1387,28994,1093,17,4
471,58,A,4919,24807,878,20863,1923,18,3
472,71,A,4465,27042,649,23271,2240,15,3
473,48,C,3398,5255,879,22018,2092,15,2
474,41,C,3054,10448,580,36469,817,14,3
475,68,E,7342,6013,1956,27621,2133,18,6
476,30,C,3880,6385,738,17004,1932,13,2
477,43,A,5490,38114,1279,41571,2260,14,4
478,57,D,2709,5068,511,32343,1650,14,2
479,18,D,2462,5379,544,30973,1420,13,2
480,37,E,6761,35970,1950,30221,2137,20,5
481,43,C,3429,11015,786,17089,1838,13,2
482,35,A,4330,11359,1383,35753,1910,18,3
483,34,E,7650,2320,2035,36460,1315,16,7
484,42,E,8009,59645,2098,27024,1611,23,7
485,49,D,1284,3364,452,41076,1878,12,0
486,51,C,3746,8743,876,31995,1151,16,3
487,34,A,,26150,789,16594,2553,21,3
488,42,C,3535,7785,819,39905,1319,16,3
489,46,A,4567,23283,908,40799,1922,14,3
490,52,C,3561,412,733,21025,1467,15,3
491,56,B,6563,12127,1068,21546,1514,16,6
492,42,A,4772,35489,1008,35632,1674,15,4
493,48,C,3915,2416,828,26514,1962,18,2
494,27,B,7565,19245,1230,21528,1503,20,7
495,48,D,920,1676,576,42018,1331,13,0
496,46,B,4809,15866,1336,32350,2033,14,3
497,43,D,3060,7294,620,23829,1200,15,2
498,28,C,3259,6655,772,28942,2057,14,2
499,19,A,5678,29906,924,23165,1394,19,5
500,52,D,2273,5111,498,16431,1622,12,1
501,42,E,7925,8452,1561,42026,1688,18,7
502,55,D,2552,5312,492,27397,1300,14,2
503,40,A,6407,17151,1282,16098,1651,15,5
504,47,A,4889,19330,916,37539,1808,18,4
505,46,D,2981,4952,600,21115,1457,14,2
506,33,E,7755,46380,1639,30524,1646,18,7
507,31,E,8953,25602,1164,39326,1589,24,8
508,19,B,7330,22887,1275,21052,1747,17,6
509,40,A,5182,31965,1142,20834,2025,13,4
510,51,C,2829,6130,766,26096,1818,14,2
511,38,B,8022,39710,1085,16925,1659,17,7
512,39,B,7297,37580,1379,39070,1245,18,7
513,15,D,2328,3130,480,30040,2208,14,1
514,62,B,8730,26385,1239,17426,1862,20,7
515,49,D,2930,6238,495,30108,1539,13,2
516,47,E,7758,60427,1640,37312,1468,17,7
517,28,A,4094,21054,869,24213,1453,15,3
518,42,B,6516,19501,1164,27156,2013,20,5
519,17,C,3999,3396,812,15895,1364,13,3
520,36,B,6104,29140,1194,21379,1467,19,5
521,40,B,6463,21513,1454,16139,1793,18,5
522,49,C,3473,8260,557,42103,1628,13,2
523,60,E,7484,51162,1630,27769,1504,18,6
524,26,A,4337,32429,1112,24969,2168,18,3
525,27,E,7933,50655,1649,36852,1678,20,7
526,34,D,2106,5110,467,30712,1328,12,1
527,37,D,2558,2166,496,30146,1792,16,1
528,40,B,7755,15175,1114,36970,1752,17,7
529,36,B,,23568,1238,32150,2095,17,5
530,37,A,4943,29445,979,38614,2064,18,3
531,40,D,1682,4931,523,37004,1584,12,1
532,39,E,7780,39994,1396,30507,1208,21,7
533,41,E,7213,70255,2487,23832,1928,15,6
534,18,B,6732,19749,1148,41324,1746,19,5
535,42,C,3651,7251,494,40603,1650,15,3
536,42,B,8029,17518,1257,20299,2069,17,6
537,41,C,3326,3093,1010,17230,1667,15,2
538,34,B,8314,25927,1216,28025,2159,20,7
539,34,E,8718,47910,1589,20388,1969,20,7
540,39,A,5956,27340,1368,38441,1844,17,5
541,44,D,3139,6414,378,16856,1756,16,2
542,47,C,3576,5794,736,36853,1718,19,2
543,26,E,7902,89322,1794,29719,2368,20,6
544,53,D,2438,5840,503,18451,2040,14,1
545,40,E,8349,62250,1663,27781,1461,19,7
546,47,E,7701,26784,1250,28337,1715,15,6
547,42,B,7727,30149,1094,32073,1874,16,6
548,27,C,3668,567,695,17969,1585,16,3
549,27,E,7145,26289,2333,26624,1729,21,6
550,55,E,9545,71751,1526,32633,2217,17,8
551,19,D,2949,5618,487,19878,2026,14,1
552,46,E,7935,71321,1084,34311,1443,20,7
553,43,B,7294,33799,1174,37569,1803,18,6
554,32,D,2411,4632,480,41461,1414,10,1
555,32,D,2272,7074,391,16154,1828,9,1
556,48,E,8408,79404,1811,16692,1856,24,7
557,47,C,4176,971,631,17305,1427,15,3
558,21,E,8703,62565,1869,37631,1406,18,8
559,39,D,1791,4121,504,25837,2087,13,0
560,35,A,4650,21168,1318,19634,2144,17,3
561,12,B,7124,29092,1147,32468,1715,16,6
562,39,A,5275,28590,1036,41239,1877,17,4
563,34,E,7254,44504,1889,26007,1580,20,6
564,21,D,1297,2621,557,40493,1575,13,0
565,40,C,4185,11612,827,25500,1739,13,3
566,64,D,3217,4787,479,40005,1987,14,2
567,44,B,7213,30467,1194,41480,2289,20,5
568,18,D,3119,7879,490,34572,1848,15,2
569,26,A,4314,24945,886,22826,1362,14,3
